id,exam,year,subject,topic,difficulty,question,recency,difficulty_score
278,IBPS PO,2023,Quantitative Aptitude,Algebra,Medium,Find the roots of the equation x^2 - 100x + 30 = 0.,3,2
279,SSC CGL,2021,Reasoning,Series,Hard,Find the next term in the given number series.,5,3
280,IBPS PO,2023,Reasoning,Series,Hard,Find the next term in the given number series.,3,3
281,IBPS PO,2023,Quantitative Aptitude,Algebra,Easy,Simplify the given quadratic expression.,3,1
282,SSC CGL,2022,Quantitative Aptitude,Time and Work,Medium,Find the efficiency ratio of two workers given their individual work rates.,4,2
283,SSC CHSL,2023,Reasoning,Series,Medium,Find the missing number in the series.,3,2
284,RRB NTPC,2021,Quantitative Aptitude,Time and Work,Easy,A can complete a work in 300 days and B in 10 days. Find the time taken together.,5,1
285,RRB NTPC,2025,General Awareness,Static GK,Medium,Identify the national symbol described in the question.,1,2
286,IBPS PO,2022,Reasoning,Series,Easy,Find the next term in the given number series.,4,1
287,SSC CGL,2024,General Awareness,Indian Polity,Hard,Who is known as the chief architect of the Indian Constitution?,2,3
288,SSC CHSL,2022,General Awareness,Science,Medium,Identify the SI unit of the given physical quantity.,4,2
289,SSC CHSL,2023,English,Cloze Test,Hard,Fill in the blanks to complete the passage meaningfully.,3,3
290,SSC CGL,2025,Reasoning,Direction Sense,Medium,A person walks 100 km north and then 10 km east. Find the shortest distance to start.,1,2
291,SSC CGL,2022,General Awareness,Current Affairs,Medium,Which event is currently in the news?,4,2
292,RRB NTPC,2022,Reasoning,Series,Easy,Find the next term in the given number series.,4,1
293,RRB NTPC,2024,General Awareness,Static GK,Medium,Identify the national symbol described in the question.,2,2
294,IBPS PO,2023,General Awareness,Indian Polity,Medium,Who is known as the chief architect of the Indian Constitution?,3,2
295,IBPS PO,2021,Quantitative Aptitude,Simple Interest,Easy,Find the simple interest on 200 at 25% per annum for 10 years.,5,1
296,RRB NTPC,2023,General Awareness,Indian Polity,Easy,Which article of the Constitution deals with the given provision?,3,1
297,IBPS PO,2024,Reasoning,Puzzle,Medium,Arrange the given items based on the clues provided.,2,2
298,SSC CHSL,2022,General Awareness,Science,Hard,Identify the SI unit of the given physical quantity.,4,3
299,RRB NTPC,2022,Reasoning,Direction Sense,Hard,A person walks 150 km north and then 10 km east. Find the shortest distance to start.,4,3
300,SSC CGL,2023,Reasoning,Syllogism,Easy,Determine whether the given statements follow logically.,3,1
301,IBPS PO,2023,English,Reading Comprehension,Hard,Identify the main idea of the given passage.,3,3
302,SSC CHSL,2024,Reasoning,Blood Relation,Easy,A is the son of B. B is the daughter of C. How is A related to C?,2,1
303,SSC CGL,2024,English,Vocabulary,Medium,Choose the antonym of the given word.,2,2
304,RRB NTPC,2022,Quantitative Aptitude,Time and Work,Hard,A pipe fills a tank in 750 hours. Find the time to fill 15% of the tank.,4,3
305,RRB NTPC,2025,Quantitative Aptitude,Geometry,Medium,Find the type of triangle having all angles equal.,1,2
306,SSC CGL,2021,Reasoning,Analogy,Medium,Book is related to Reading. Pen is related to?,5,2
307,SSC CGL,2024,English,Cloze Test,Hard,Fill in the blanks to complete the passage meaningfully.,2,3
308,IBPS PO,2024,General Awareness,Geography,Hard,Which state has the highest geographical area?,2,3
309,RRB NTPC,2021,Quantitative Aptitude,Profit and Loss,Hard,Find the selling price if cost price is 100 and profit is 25%.,5,3
310,RRB NTPC,2025,Quantitative Aptitude,Data Interpretation,Hard,Analyse the bar graph and find the percentage change.,1,3
311,SSC CGL,2025,English,Vocabulary,Medium,Choose the correct meaning of the word.,1,2
312,SSC CHSL,2023,Reasoning,Blood Relation,Easy,A is the son of B. B is the daughter of C. How is A related to C?,3,1
313,SSC CGL,2025,English,Cloze Test,Easy,Fill in the blanks to complete the passage meaningfully.,1,1
314,SSC CGL,2021,English,Cloze Test,Easy,Fill in the blanks to complete the passage meaningfully.,5,1
315,RRB NTPC,2022,Quantitative Aptitude,Time and Work,Easy,A can complete a work in 400 days and B in 10 days. Find the time taken together.,4,1
316,SSC CHSL,2025,Quantitative Aptitude,Percentage,Hard,A number is increased by 15%. Find the new value.,1,3
317,SSC CHSL,2021,English,Cloze Test,Medium,Fill in the blanks to complete the passage meaningfully.,5,2
318,SSC CGL,2022,Reasoning,Syllogism,Medium,"Based on the two statements, find the valid conclusion.",4,2
319,SSC CHSL,2025,English,Sentence Improvement,Easy,Improve the underlined part of the given sentence.,1,1
320,SSC CHSL,2024,English,Grammar,Medium,Choose the grammatically correct sentence.,2,2
321,SSC CGL,2023,English,Cloze Test,Easy,Fill in the blanks to complete the passage meaningfully.,3,1
322,IBPS PO,2025,Reasoning,Analogy,Easy,Book is related to Reading. Pen is related to?,1,1
323,SSC CHSL,2025,Quantitative Aptitude,Profit and Loss,Medium,A shopkeeper marks an item 10% above cost price. Find the marked price.,1,2
324,RRB NTPC,2024,Quantitative Aptitude,Algebra,Medium,Simplify the given quadratic expression.,2,2
325,IBPS PO,2024,Reasoning,Coding Decoding,Hard,Find the next term using a coding pattern.,2,3
326,SSC CHSL,2024,General Awareness,Geography,Medium,Which state has the highest geographical area?,2,2
327,SSC CHSL,2023,English,Vocabulary,Medium,Choose the antonym of the given word.,3,2
328,SSC CHSL,2023,Quantitative Aptitude,Algebra,Easy,"If x + y = 300 and x - y = 36, find the value of x.",3,1
329,SSC CHSL,2025,English,Sentence Improvement,Easy,Improve the underlined part of the given sentence.,1,1
330,IBPS PO,2021,English,Sentence Improvement,Hard,Improve the underlined part of the given sentence.,5,3
331,SSC CGL,2024,English,Grammar,Easy,Choose the grammatically correct sentence.,2,1
332,IBPS PO,2022,English,Grammar,Easy,Identify the error in the sentence.,4,1
333,SSC CGL,2024,English,Grammar,Medium,Identify the error in the sentence.,2,2
334,RRB NTPC,2023,General Awareness,Current Affairs,Medium,Who was recently appointed to the given post?,3,2
335,SSC CHSL,2024,Reasoning,Analogy,Easy,Choose the word that best completes the analogy.,2,1
336,IBPS PO,2024,English,Sentence Improvement,Medium,Improve the underlined part of the given sentence.,2,2
337,IBPS PO,2024,Quantitative Aptitude,Geometry,Easy,Find the perimeter of a rectangle with length 250 cm and breadth 10 cm.,2,1
338,RRB NTPC,2024,General Awareness,Science,Hard,Identify the SI unit of the given physical quantity.,2,3
339,SSC CHSL,2025,Quantitative Aptitude,Time and Work,Medium,A pipe fills a tank in 250 hours. Find the time to fill 15% of the tank.,1,2
340,SSC CHSL,2024,Quantitative Aptitude,Geometry,Hard,Find the type of triangle having all angles equal.,2,3
341,SSC CHSL,2025,General Awareness,Indian Polity,Easy,Which article of the Constitution deals with the given provision?,1,1
342,SSC CHSL,2024,Reasoning,Syllogism,Hard,Determine whether the given statements follow logically.,2,3
343,SSC CHSL,2022,English,Grammar,Medium,Identify the error in the sentence.,4,2
344,IBPS PO,2025,Reasoning,Puzzle,Medium,Arrange the given items based on the clues provided.,1,2
345,RRB NTPC,2022,Quantitative Aptitude,Algebra,Hard,"If x + y = 300 and x - y = 10, find the value of x.",4,3
346,RRB NTPC,2023,General Awareness,Indian Polity,Easy,Which article of the Constitution deals with the given provision?,3,1
347,IBPS PO,2021,English,Grammar,Medium,Choose the grammatically correct sentence.,5,2
348,SSC CHSL,2021,Reasoning,Syllogism,Medium,Determine whether the given statements follow logically.,5,2
349,SSC CGL,2021,Reasoning,Blood Relation,Medium,A is the son of B. B is the daughter of C. How is A related to C?,5,2
350,IBPS PO,2023,Quantitative Aptitude,Algebra,Hard,"If x + y = 200 and x - y = 18, find the value of x.",3,3
351,IBPS PO,2021,General Awareness,Science,Medium,Identify the SI unit of the given physical quantity.,5,2
352,IBPS PO,2021,Reasoning,Coding Decoding,Medium,"If CAT is coded as DBU, how is DOG coded?",5,2
353,IBPS PO,2024,Quantitative Aptitude,Time and Work,Easy,Find the efficiency ratio of two workers given their individual work rates.,2,1
354,IBPS PO,2025,General Awareness,Science,Medium,Which gas is essential for respiration?,1,2
355,SSC CGL,2023,English,Vocabulary,Hard,Choose the antonym of the given word.,3,3
356,IBPS PO,2024,Reasoning,Blood Relation,Easy,Find the relationship between two persons based on the given statements.,2,1
357,IBPS PO,2022,Reasoning,Direction Sense,Medium,A person walks 500 km north and then 24 km east. Find the shortest distance to start.,4,2
358,RRB NTPC,2023,Quantitative Aptitude,Percentage,Hard,"If a value decreases by 5%, find the resulting percentage change.",3,3
359,IBPS PO,2022,Reasoning,Analogy,Easy,Book is related to Reading. Pen is related to?,4,1
360,SSC CHSL,2025,General Awareness,Indian Polity,Hard,Which article of the Constitution deals with the given provision?,1,3
361,RRB NTPC,2021,Quantitative Aptitude,Data Interpretation,Easy,Find the ratio of values shown in the given pie chart.,5,1
362,RRB NTPC,2023,Quantitative Aptitude,Algebra,Easy,Solve the given algebraic equation for x.,3,1
363,SSC CGL,2024,Quantitative Aptitude,Algebra,Easy,Solve the given algebraic equation for x.,2,1
364,IBPS PO,2022,Quantitative Aptitude,Simple Interest,Easy,Find the simple interest on 300 at 12% per annum for 36 years.,4,1
365,SSC CHSL,2024,English,Grammar,Hard,Identify the error in the sentence.,2,3
366,RRB NTPC,2025,English,Vocabulary,Easy,Choose the correct meaning of the word.,1,1
367,SSC CHSL,2023,English,Vocabulary,Medium,Choose the antonym of the given word.,3,2
368,SSC CHSL,2021,English,Sentence Improvement,Medium,Improve the underlined part of the given sentence.,5,2
369,SSC CHSL,2021,General Awareness,Geography,Easy,Which state has the highest geographical area?,5,1
370,IBPS PO,2023,General Awareness,Current Affairs,Easy,Who was recently appointed to the given post?,3,1
371,RRB NTPC,2025,Reasoning,Direction Sense,Medium,A person walks 200 km north and then 10 km east. Find the shortest distance to start.,1,2
372,RRB NTPC,2022,Reasoning,Direction Sense,Hard,A person walks 250 km north and then 15 km east. Find the shortest distance to start.,4,3
373,RRB NTPC,2022,Reasoning,Blood Relation,Medium,A is the son of B. B is the daughter of C. How is A related to C?,4,2
374,RRB NTPC,2023,General Awareness,Static GK,Easy,Identify the national symbol described in the question.,3,1
375,IBPS PO,2025,General Awareness,History,Medium,Who founded the Maurya Empire?,1,2
376,IBPS PO,2024,Reasoning,Syllogism,Easy,Determine whether the given statements follow logically.,2,1
377,IBPS PO,2022,Quantitative Aptitude,Profit and Loss,Easy,An article bought for 200 is sold for 10. Find the profit or loss percentage.,4,1
378,SSC CGL,2021,General Awareness,Static GK,Easy,Identify the national symbol described in the question.,5,1
379,SSC CHSL,2023,General Awareness,Static GK,Easy,Identify the national symbol described in the question.,3,1
380,SSC CHSL,2025,General Awareness,Static GK,Easy,Identify the national symbol described in the question.,1,1
381,SSC CGL,2023,General Awareness,History,Easy,Identify the event associated with the given year.,3,1
382,SSC CHSL,2023,Reasoning,Blood Relation,Easy,A is the son of B. B is the daughter of C. How is A related to C?,3,1
383,IBPS PO,2024,General Awareness,Static GK,Medium,Identify the national symbol described in the question.,2,2
384,RRB NTPC,2023,Quantitative Aptitude,Data Interpretation,Hard,Analyse the bar graph and find the percentage change.,3,3
385,IBPS PO,2024,Reasoning,Puzzle,Hard,Arrange the given items based on the clues provided.,2,3
386,SSC CGL,2021,Reasoning,Puzzle,Easy,Arrange the given items based on the clues provided.,5,1
387,IBPS PO,2025,Reasoning,Series,Hard,Find the next term in the given number series.,1,3
388,IBPS PO,2023,Quantitative Aptitude,Geometry,Easy,Find the type of triangle having all angles equal.,3,1
389,IBPS PO,2025,Quantitative Aptitude,Percentage,Medium,A student scored 20% marks in an exam. Find the marks obtained out of 100.,1,2
390,SSC CHSL,2025,Reasoning,Syllogism,Medium,Determine whether the given statements follow logically.,1,2
391,IBPS PO,2022,Reasoning,Syllogism,Hard,"Based on the two statements, find the valid conclusion.",4,3
392,SSC CGL,2021,Quantitative Aptitude,Percentage,Medium,A number is increased by 15%. Find the new value.,5,2
393,IBPS PO,2023,General Awareness,Science,Medium,Which gas is essential for respiration?,3,2
394,SSC CGL,2022,General Awareness,Current Affairs,Hard,Which event is currently in the news?,4,3
395,IBPS PO,2025,English,Cloze Test,Hard,Fill in the blanks to complete the passage meaningfully.,1,3
396,SSC CGL,2021,English,Sentence Improvement,Medium,Improve the underlined part of the given sentence.,5,2
397,RRB NTPC,2025,General Awareness,History,Medium,Identify the event associated with the given year.,1,2
398,SSC CGL,2024,Reasoning,Syllogism,Hard,Determine whether the given statements follow logically.,2,3
399,SSC CHSL,2024,General Awareness,Geography,Medium,Which river is the longest in India?,2,2
400,SSC CGL,2022,English,Vocabulary,Easy,Choose the correct meaning of the word.,4,1
401,RRB NTPC,2023,General Awareness,Current Affairs,Medium,Who was recently appointed to the given post?,3,2
402,RRB NTPC,2024,Reasoning,Coding Decoding,Medium,"If CAT is coded as DBU, how is DOG coded?",2,2
403,SSC CHSL,2023,Quantitative Aptitude,Algebra,Medium,"If x + y = 250 and x - y = 18, find the value of x.",3,2
404,IBPS PO,2022,Quantitative Aptitude,Profit and Loss,Medium,An article bought for 400 is sold for 12. Find the profit or loss percentage.,4,2
405,SSC CHSL,2022,Reasoning,Coding Decoding,Easy,Find the next term using a coding pattern.,4,1
406,IBPS PO,2022,English,Cloze Test,Easy,Fill in the blanks to complete the passage meaningfully.,4,1
407,IBPS PO,2023,English,Sentence Improvement,Easy,Improve the underlined part of the given sentence.,3,1
408,SSC CGL,2021,Reasoning,Puzzle,Easy,Solve the seating arrangement puzzle based on given conditions.,5,1
409,SSC CHSL,2021,General Awareness,History,Easy,Who founded the Maurya Empire?,5,1
410,SSC CGL,2023,General Awareness,Indian Polity,Medium,Which article of the Constitution deals with the given provision?,3,2
411,IBPS PO,2025,Reasoning,Coding Decoding,Easy,Find the next term using a coding pattern.,1,1
412,SSC CHSL,2022,Reasoning,Syllogism,Easy,"Based on the two statements, find the valid conclusion.",4,1
413,SSC CGL,2023,English,Vocabulary,Medium,Choose the correct meaning of the word.,3,2
414,RRB NTPC,2024,General Awareness,Static GK,Hard,Identify the national symbol described in the question.,2,3
415,RRB NTPC,2021,Quantitative Aptitude,Data Interpretation,Easy,Find the ratio of values shown in the given pie chart.,5,1
416,SSC CHSL,2021,English,Vocabulary,Easy,Choose the synonym of the given word.,5,1
417,RRB NTPC,2024,General Awareness,Current Affairs,Hard,Who was recently appointed to the given post?,2,3
418,RRB NTPC,2021,Reasoning,Series,Easy,Find the missing number in the series.,5,1
419,SSC CHSL,2025,Quantitative Aptitude,Algebra,Hard,Find the roots of the equation x^2 - 300x + 24 = 0.,1,3
420,SSC CGL,2024,Reasoning,Coding Decoding,Hard,Decode the given word using the same logic as the example.,2,3
421,RRB NTPC,2021,English,Grammar,Hard,Fill in the blank with the correct form of the verb.,5,3
422,SSC CHSL,2025,Quantitative Aptitude,Data Interpretation,Easy,Analyse the bar graph and find the percentage change.,1,1
423,IBPS PO,2021,English,Cloze Test,Easy,Fill in the blanks to complete the passage meaningfully.,5,1
424,RRB NTPC,2022,General Awareness,Science,Easy,Which gas is essential for respiration?,4,1
425,RRB NTPC,2023,Quantitative Aptitude,Simple Interest,Easy,Find the simple interest on 250 at 5% per annum for 18 years.,3,1
426,SSC CHSL,2025,Reasoning,Analogy,Medium,Book is related to Reading. Pen is related to?,1,2
427,SSC CGL,2021,Quantitative Aptitude,Algebra,Medium,Solve the given algebraic equation for x.,5,2
428,SSC CGL,2021,Reasoning,Puzzle,Medium,Solve the seating arrangement puzzle based on given conditions.,5,2
429,IBPS PO,2021,English,Cloze Test,Medium,Fill in the blanks to complete the passage meaningfully.,5,2
430,SSC CHSL,2023,General Awareness,Current Affairs,Medium,Which event is currently in the news?,3,2
431,SSC CHSL,2022,Quantitative Aptitude,Percentage,Medium,"If a value decreases by 50%, find the resulting percentage change.",4,2
432,SSC CGL,2023,Quantitative Aptitude,Data Interpretation,Medium,Analyse the bar graph and find the percentage change.,3,2
433,RRB NTPC,2025,Quantitative Aptitude,Algebra,Easy,Simplify the given quadratic expression.,1,1
434,IBPS PO,2021,English,Vocabulary,Hard,Choose the correct meaning of the word.,5,3
435,SSC CHSL,2024,Reasoning,Puzzle,Hard,Arrange the given items based on the clues provided.,2,3
436,SSC CHSL,2022,Quantitative Aptitude,Simple Interest,Easy,Find the simple interest on 200 at 50% per annum for 30 years.,4,1
437,RRB NTPC,2025,English,Cloze Test,Medium,Fill in the blanks to complete the passage meaningfully.,1,2
438,IBPS PO,2025,Quantitative Aptitude,Algebra,Medium,Solve the given algebraic equation for x.,1,2
439,RRB NTPC,2025,Reasoning,Coding Decoding,Medium,Find the next term using a coding pattern.,1,2
440,SSC CGL,2021,Quantitative Aptitude,Geometry,Easy,Find the type of triangle having all angles equal.,5,1
441,RRB NTPC,2021,Reasoning,Puzzle,Hard,Solve the seating arrangement puzzle based on given conditions.,5,3
442,SSC CGL,2025,Quantitative Aptitude,Simple Interest,Easy,Find the principal amount given simple interest of 150 at 12% rate.,1,1
443,IBPS PO,2024,Quantitative Aptitude,Percentage,Medium,The population of a town grew by 30% in a year. Find the increase.,2,2
444,SSC CGL,2025,Reasoning,Puzzle,Hard,Solve the seating arrangement puzzle based on given conditions.,1,3
445,RRB NTPC,2022,English,Cloze Test,Easy,Fill in the blanks to complete the passage meaningfully.,4,1
446,SSC CHSL,2024,English,Grammar,Medium,Fill in the blank with the correct form of the verb.,2,2
447,IBPS PO,2024,English,Cloze Test,Easy,Fill in the blanks to complete the passage meaningfully.,2,1
448,SSC CGL,2025,Quantitative Aptitude,Time and Work,Hard,A can complete a work in 200 days and B in 36 days. Find the time taken together.,1,3
449,IBPS PO,2025,Reasoning,Coding Decoding,Medium,Find the next term using a coding pattern.,1,2
450,SSC CGL,2024,English,Vocabulary,Hard,Choose the synonym of the given word.,2,3
451,SSC CHSL,2021,Quantitative Aptitude,Simple Interest,Easy,Find the simple interest on 500 at 40% per annum for 10 years.,5,1
452,RRB NTPC,2022,General Awareness,Geography,Easy,Which state has the highest geographical area?,4,1
453,SSC CGL,2024,General Awareness,Geography,Medium,Which state has the highest geographical area?,2,2
454,IBPS PO,2022,English,Reading Comprehension,Medium,Read the passage and answer the question.,4,2
455,RRB NTPC,2024,Quantitative Aptitude,Time and Work,Easy,A pipe fills a tank in 150 hours. Find the time to fill 12% of the tank.,2,1
456,SSC CHSL,2022,English,Cloze Test,Hard,Fill in the blanks to complete the passage meaningfully.,4,3
457,IBPS PO,2023,Quantitative Aptitude,Time and Work,Medium,A pipe fills a tank in 150 hours. Find the time to fill 50% of the tank.,3,2
458,IBPS PO,2025,General Awareness,Indian Polity,Easy,Which article of the Constitution deals with the given provision?,1,1
459,RRB NTPC,2023,Reasoning,Series,Hard,Find the missing number in the series.,3,3
460,RRB NTPC,2022,English,Vocabulary,Easy,Choose the correct meaning of the word.,4,1
461,RRB NTPC,2021,Quantitative Aptitude,Percentage,Easy,The population of a town grew by 12% in a year. Find the increase.,5,1
462,RRB NTPC,2021,English,Reading Comprehension,Easy,Read the passage and answer the question.,5,1
463,IBPS PO,2021,English,Reading Comprehension,Hard,Identify the main idea of the given passage.,5,3
464,IBPS PO,2022,Reasoning,Direction Sense,Medium,A person walks 250 km north and then 20 km east. Find the shortest distance to start.,4,2
465,IBPS PO,2021,English,Sentence Improvement,Easy,Improve the underlined part of the given sentence.,5,1
466,SSC CGL,2025,Quantitative Aptitude,Data Interpretation,Hard,Find the ratio of values shown in the given pie chart.,1,3
467,SSC CGL,2022,General Awareness,Static GK,Medium,Identify the national symbol described in the question.,4,2
468,IBPS PO,2024,General Awareness,Indian Polity,Hard,Who is known as the chief architect of the Indian Constitution?,2,3
469,IBPS PO,2021,Reasoning,Coding Decoding,Easy,Decode the given word using the same logic as the example.,5,1
470,IBPS PO,2025,English,Grammar,Hard,Fill in the blank with the correct form of the verb.,1,3
471,SSC CGL,2023,Quantitative Aptitude,Data Interpretation,Medium,Analyse the bar graph and find the percentage change.,3,2
472,IBPS PO,2025,General Awareness,History,Medium,Identify the event associated with the given year.,1,2
473,RRB NTPC,2025,Quantitative Aptitude,Time and Work,Medium,A can complete a work in 100 days and B in 10 days. Find the time taken together.,1,2
474,RRB NTPC,2025,Quantitative Aptitude,Simple Interest,Easy,Find the principal amount given simple interest of 250 at 40% rate.,1,1
475,SSC CHSL,2025,Quantitative Aptitude,Data Interpretation,Medium,Find the ratio of values shown in the given pie chart.,1,2
476,SSC CHSL,2021,Quantitative Aptitude,Geometry,Easy,Find the type of triangle having all angles equal.,5,1
477,IBPS PO,2021,Reasoning,Analogy,Medium,Book is related to Reading. Pen is related to?,5,2
478,RRB NTPC,2022,English,Sentence Improvement,Easy,Improve the underlined part of the given sentence.,4,1
479,RRB NTPC,2021,General Awareness,Science,Easy,Which gas is essential for respiration?,5,1
480,RRB NTPC,2022,General Awareness,History,Medium,Identify the event associated with the given year.,4,2
481,IBPS PO,2023,Reasoning,Puzzle,Easy,Solve the seating arrangement puzzle based on given conditions.,3,1
482,SSC CGL,2025,English,Sentence Improvement,Medium,Improve the underlined part of the given sentence.,1,2
483,SSC CHSL,2021,Reasoning,Blood Relation,Medium,Find the relationship between two persons based on the given statements.,5,2
484,SSC CHSL,2024,General Awareness,History,Easy,Who founded the Maurya Empire?,2,1
485,SSC CGL,2022,Reasoning,Series,Medium,Find the missing number in the series.,4,2
486,SSC CHSL,2025,Quantitative Aptitude,Data Interpretation,Medium,Find the ratio of values shown in the given pie chart.,1,2
487,RRB NTPC,2025,Reasoning,Series,Medium,Find the next term in the given number series.,1,2
488,SSC CHSL,2022,General Awareness,History,Medium,Who founded the Maurya Empire?,4,2
489,IBPS PO,2025,English,Vocabulary,Hard,Choose the correct meaning of the word.,1,3
490,SSC CHSL,2024,Quantitative Aptitude,Profit and Loss,Easy,An article bought for 150 is sold for 24. Find the profit or loss percentage.,2,1
491,IBPS PO,2025,Quantitative Aptitude,Time and Work,Easy,A can complete a work in 200 days and B in 12 days. Find the time taken together.,1,1
492,RRB NTPC,2023,Quantitative Aptitude,Profit and Loss,Medium,An article bought for 400 is sold for 36. Find the profit or loss percentage.,3,2
493,IBPS PO,2025,English,Cloze Test,Hard,Fill in the blanks to complete the passage meaningfully.,1,3
494,SSC CGL,2025,Reasoning,Coding Decoding,Easy,Decode the given word using the same logic as the example.,1,1
495,IBPS PO,2025,English,Grammar,Easy,Choose the grammatically correct sentence.,1,1
496,SSC CGL,2022,General Awareness,Geography,Medium,Which river is the longest in India?,4,2
497,SSC CGL,2025,Quantitative Aptitude,Simple Interest,Easy,Find the simple interest on 150 at 25% per annum for 24 years.,1,1
498,SSC CGL,2024,General Awareness,Static GK,Easy,Identify the national symbol described in the question.,2,1
499,SSC CHSL,2023,Reasoning,Analogy,Medium,Choose the word that best completes the analogy.,3,2
500,IBPS PO,2025,General Awareness,Indian Polity,Easy,Which article of the Constitution deals with the given provision?,1,1
501,IBPS PO,2022,General Awareness,Static GK,Easy,Identify the national symbol described in the question.,4,1
502,SSC CHSL,2023,General Awareness,Current Affairs,Easy,Which event is currently in the news?,3,1
503,SSC CGL,2021,English,Grammar,Hard,Choose the grammatically correct sentence.,5,3
504,RRB NTPC,2024,General Awareness,Science,Medium,Identify the SI unit of the given physical quantity.,2,2
505,SSC CHSL,2024,Quantitative Aptitude,Percentage,Hard,The population of a town grew by 20% in a year. Find the increase.,2,3
506,IBPS PO,2022,Quantitative Aptitude,Data Interpretation,Hard,Analyse the bar graph and find the percentage change.,4,3
507,RRB NTPC,2025,Reasoning,Series,Easy,Find the odd one out from the given series.,1,1
508,SSC CGL,2025,English,Cloze Test,Easy,Fill in the blanks to complete the passage meaningfully.,1,1
509,RRB NTPC,2024,Reasoning,Coding Decoding,Hard,"If CAT is coded as DBU, how is DOG coded?",2,3
510,IBPS PO,2022,Quantitative Aptitude,Geometry,Easy,Find the perimeter of a rectangle with length 150 cm and breadth 12 cm.,4,1
511,SSC CHSL,2021,Quantitative Aptitude,Algebra,Medium,Solve the given algebraic equation for x.,5,2
512,RRB NTPC,2022,General Awareness,Current Affairs,Medium,Which event is currently in the news?,4,2
513,IBPS PO,2025,English,Cloze Test,Medium,Fill in the blanks to complete the passage meaningfully.,1,2
514,SSC CHSL,2024,General Awareness,Static GK,Easy,Identify the national symbol described in the question.,2,1
515,RRB NTPC,2022,Quantitative Aptitude,Data Interpretation,Easy,Analyse the bar graph and find the percentage change.,4,1
516,IBPS PO,2022,General Awareness,Current Affairs,Medium,Who was recently appointed to the given post?,4,2
517,SSC CHSL,2025,General Awareness,Science,Medium,Which gas is essential for respiration?,1,2
518,IBPS PO,2023,English,Vocabulary,Medium,Choose the synonym of the given word.,3,2
519,IBPS PO,2025,English,Reading Comprehension,Medium,Identify the main idea of the given passage.,1,2
520,SSC CGL,2022,Quantitative Aptitude,Algebra,Hard,"If x + y = 100 and x - y = 24, find the value of x.",4,3
521,IBPS PO,2023,Reasoning,Direction Sense,Hard,A person walks 400 km north and then 24 km east. Find the shortest distance to start.,3,3
522,IBPS PO,2025,General Awareness,History,Hard,Who founded the Maurya Empire?,1,3
523,RRB NTPC,2022,Reasoning,Coding Decoding,Hard,Decode the given word using the same logic as the example.,4,3
524,SSC CGL,2021,English,Vocabulary,Easy,Choose the correct meaning of the word.,5,1
525,SSC CHSL,2021,Reasoning,Syllogism,Easy,Determine whether the given statements follow logically.,5,1
526,IBPS PO,2021,Quantitative Aptitude,Geometry,Easy,Find the perimeter of a rectangle with length 200 cm and breadth 36 cm.,5,1
527,SSC CGL,2022,Reasoning,Syllogism,Easy,Determine whether the given statements follow logically.,4,1
528,SSC CHSL,2021,Reasoning,Coding Decoding,Hard,Decode the given word using the same logic as the example.,5,3
529,IBPS PO,2021,English,Sentence Improvement,Medium,Improve the underlined part of the given sentence.,5,2
530,SSC CHSL,2024,Reasoning,Blood Relation,Medium,Find the relationship between two persons based on the given statements.,2,2
531,IBPS PO,2023,Reasoning,Analogy,Easy,Choose the word that best completes the analogy.,3,1
532,SSC CHSL,2023,English,Cloze Test,Medium,Fill in the blanks to complete the passage meaningfully.,3,2
533,IBPS PO,2024,General Awareness,Science,Easy,Which gas is essential for respiration?,2,1
534,SSC CGL,2024,Reasoning,Syllogism,Easy,"Based on the two statements, find the valid conclusion.",2,1
535,SSC CHSL,2024,Quantitative Aptitude,Simple Interest,Easy,Find the simple interest on 400 at 20% per annum for 10 years.,2,1
536,RRB NTPC,2025,English,Sentence Improvement,Medium,Improve the underlined part of the given sentence.,1,2
537,SSC CGL,2024,Reasoning,Coding Decoding,Easy,Find the next term using a coding pattern.,2,1
538,SSC CHSL,2024,English,Cloze Test,Medium,Fill in the blanks to complete the passage meaningfully.,2,2
539,RRB NTPC,2023,Quantitative Aptitude,Profit and Loss,Easy,A trader allows a discount of 30%. Find the new selling price.,3,1
540,IBPS PO,2021,English,Sentence Improvement,Medium,Improve the underlined part of the given sentence.,5,2
541,SSC CHSL,2023,Quantitative Aptitude,Geometry,Medium,Find the perimeter of a rectangle with length 600 cm and breadth 30 cm.,3,2
542,SSC CHSL,2025,Reasoning,Series,Easy,Find the odd one out from the given series.,1,1
543,IBPS PO,2025,Quantitative Aptitude,Profit and Loss,Medium,A shopkeeper marks an item 40% above cost price. Find the marked price.,1,2
544,IBPS PO,2021,Reasoning,Analogy,Medium,Book is related to Reading. Pen is related to?,5,2
545,SSC CHSL,2023,Quantitative Aptitude,Profit and Loss,Medium,A shopkeeper marks an item 15% above cost price. Find the marked price.,3,2
546,IBPS PO,2025,General Awareness,Geography,Easy,Which river is the longest in India?,1,1
547,SSC CGL,2022,General Awareness,History,Medium,Identify the event associated with the given year.,4,2
548,SSC CGL,2025,General Awareness,Current Affairs,Hard,Who was recently appointed to the given post?,1,3
549,SSC CGL,2021,Reasoning,Series,Easy,Find the odd one out from the given series.,5,1
550,RRB NTPC,2025,Quantitative Aptitude,Profit and Loss,Hard,A trader allows a discount of 40%. Find the new selling price.,1,3
551,SSC CGL,2022,Reasoning,Analogy,Medium,Choose the word that best completes the analogy.,4,2
